scenario,exclude,species,R0,A,M,steepness,Linf.mean,Linf.min,Linf.max,k,t0,Lmat.over.Linf,a,b,Lmin,Lmax,F,G,CV,a.fec,b.fec
MLL,0,Thunnus albacares,1.00E+06,40,0.3,0.6,183.0,126.3,239.7,0.334,0,0.6,2.24E-02,2.94,109.8,239.7,0.3,101,0.1,5.1228E-01,1.430
MLL,0,Scomber scombrus,1.00E+06,40,0.3,0.6,47.3,32.6,62.0,0.33,0,0.6,3.50E-03,3.25,28.4,62.0,0.3,101,0.1,7.2910E-01,1.380
MLL,0,Gadus morhua,1.00E+06,60,0.2,0.6,196.0,135.2,256.8,0.056,0,0.6,7.00E-03,3.08,117.6,256.8,0.2,101,0.1,5.6469E+00,1.090
MLL,0,Clupea harengus,1.00E+06,67,0.18,0.6,31.0,21.4,40.5,0.32,0,0.6,5.90E-03,3.09,18.6,40.5,0.18,101,0.1,2.3566E-01,1.540
MLL,0,Sebastes mystinus,1.00E+06,101,0.119,0.6,38.0,26.2,49.8,0.118,0,0.6,1.70E-02,3,22.8,49.8,0.119,101,0.1,1.4378E-01,1.610
MLL,0,Engraulis ringens,1.00E+06,17,0.69,0.6,20.0,13.8,26.2,0.79,0,0.6,6.30E-03,3.02,12.0,26.2,0.69,101,0.1,9.0106E-01,1.350
MLL,0,Theragra chalcogramma,1.00E+06,40,0.3,0.6,70.5,48.6,92.4,0.184,0,0.6,1.35E-02,2.82,42.3,92.4,0.3,101,0.1,3.3541E-01,1.490
MLL,0,Katsuwonus pelamis ,1.00E+06,18,0.65,0.6,82.0,56.6,107.4,0.54,0,0.6,7.40E-03,3.26,49.2,107.4,0.65,101,0.1,2.6911E+00,1.195
MLL,0,Engraulis japonicus,1.00E+06,13,0.93,0.6,17.7,12.2,23.2,1.1,0,0.6,3.67E-03,3.196,10.6,23.2,0.93,101,0.1,2.0784E-02,1.884
MLL,0,Trichiurus lepturus,1.00E+06,13,0.8934,0.6,106.0,73.1,138.9,0.611,0,0.6,5.00E-04,3.14,63.6,138.9,0.8934,101,0.1,1.3127E+00,1.297
MLL,0,Strangomera bentinki,1.00E+06,17,0.69,0.6,20.8,14.4,27.2,0.444,0,0.6,6.60E-03,3.11,12.5,27.2,0.69,101,0.1,6.0599E+00,1.080
MLL,0,Mallotus villosus,1.00E+06,10,1.2,0.6,22.0,15.2,28.8,0.54,0,0.6,3.70E-03,3.14,13.2,28.8,1.2,101,0.1,2.2557E+00,1.220
MLL,0,Sardinops caeruleus,1.00E+06,11,1.1,0.6,22.0,15.2,28.8,0.6,0,0.6,9.30E-03,3.06,13.2,28.8,1.1,101,0.1,2.4379E-05,2.840
MLL,0,Trachurus trachurus,1.00E+06,31,0.39,0.6,50.0,34.5,65.5,0.427,0,0.6,9.10E-03,2.97,30.0,65.5,0.39,101,0.1,4.3306E-02,1.780
MLL,0,Melanogrammus aeglefinus,1.00E+06,40,0.3,0.6,80.0,55.2,104.8,0.2,0,0.6,5.80E-03,3.13,48.0,104.8,0.3,101,0.1,2.0076E+00,1.237
MLL,0,Engraulis encrasicolus,1.00E+06,24,0.49,0.6,19.0,13.1,24.8,0.9,0,0.6,5.60E-03,3.05,11.4,24.8,0.49,101,0.1,5.4127E+00,1.096
